Country,Year,LifeExpectancy,GDPperCapita,Population,SchoolEnrollment,InternetUsers,HealthExpenditure,LiteracyRate,GDPGrowth
"Congo, Dem. Rep.",2020,60.428,507.5212300778722,95989998.0,115.898292541504,21.6422,20.5593071,65.6914486099044,1.735422766814935
Gabon,1996,61.265,4942.678700276148,1152015.0,134.898681640625,0.0,,,3.6250490202798744
Ireland,2018,82.2048780487805,80738.96288346963,4898022.0,101.03288269043,87.0001,5187.05761719,,7.544342141426696
United States,2002,76.93658536585366,37997.7424300242,287625193.0,,58.7854,5327.93701172,,1.7004473278453958
United States,2019,78.78780487804877,65227.95659110383,330226227.0,100.981300354004,89.4303,10546.01367188,,2.583825330188887
Heavily indebted poor countries (HIPC),2019,63.08980041832777,984.5706615581628,824649053.0,101.520050048828,,44.83318889544289,64.711311340332,4.467945974919019
Belgium,2020,80.69512195121952,45906.287580524586,11538604.0,102.064270019531,91.5264,5144.98144531,,-4.7929839083518
South Asia,2017,70.29047233800607,1956.067075541859,1572520427.0,117.016357421875,18.8,56.50308722184365,74.018913269043,6.784119660177225
High income,2015,79.52437462399278,36571.192904688,1366013616.0,100.839988708496,78.3,4374.8701227828815,,2.34360859010809
Palau,2000,64.499,7797.257273959745,19178.0,114.16813659668,,675.54473877,,-2.603902465236189
Belize,2010,70.875,5451.138971724773,320245.0,112.946476456076,28.2,244.02867126,,1.1140357874026137
"Gambia, The",2002,57.736,376.5310269625843,1535691.0,69.3324279785156,1.79678,35.99459839,,-3.2500001497020605
Dominican Republic,2003,70.856,2383.2617178039336,8980620.0,115.68123626709,7.89839,104.59856415,,-1.349357447827657
Comoros,2010,62.747,1386.5753355337638,654836.0,,5.1,69.21523285,,4.801058168233865
Belize,1993,69.595,3862.710490400304,194902.0,117.587097167969,,,,6.137999894897277
Burkina Faso,2019,60.184,764.8530777749462,20961952.0,89.7861564043823,9.27181,41.05052185,29.6599998474121,5.889204970681348
French Polynesia,2003,79.71,19582.89363953116,251637.0,,14.1243,,,2.126928848726095
Jordan,2012,74.087,4169.504700546181,7587127.0,90.9311831042006,37.0,325.97836304,97.8899993896484,2.4293580010023845
Brunei Darussalam,2000,74.017,20130.2571493081,326424.0,112.037879943848,8.99628,519.05047607,,3.4746762502411173
Bangladesh,1994,57.64,280.60303179121615,120343179.0,,,,,3.890126441168178
Central African Republic,2014,40.265,409.8504859646996,4623182.0,,2.7,18.7120266,,0.0810705153264876
Low & middle income,2017,70.80829051511772,4607.317363113115,6094196886.0,101.818687438965,,238.5806513703572,84.0636520385742,5.319627721133145
Saudi Arabia,1999,72.29,10452.189940047903,15472075.0,,0.494,,,-0.6333936409202465
East Asia & Pacific (IDA & IBRD countries),2016,75.18322699554773,6758.740154806218,2045816761.0,100.886978149414,47.6,312.59442934235096,95.6880264282227,6.509920702296256
Bangladesh,2017,71.606,1811.0822166864589,162186147.0,105.128820425409,21.5,42.17510986,72.8899993896484,6.590249997940575
Ireland,1998,76.18048780487807,24294.85476740075,3712696.0,,8.1,,,8.766126227806168
Kuwait,1999,76.07795121951222,15853.626442346618,1900030.0,89.2440338134766,4.760000000000001,,,-1.7890091245007935
Namibia,2001,51.98,1915.589265948749,1857048.0,112.325736999512,2.41698,185.65335083,84.9400024414062,1.1779486946791735
Tajikistan,2004,66.604,305.7451585875024,6790547.0,96.8863906860352,0.0774799,14.6509676,,10.299998941011651
Latin America & the Caribbean (IDA & IBRD countries),2020,73.07474936174734,7240.296723763923,630051021.0,105.986572265625,74.0,577.7774661404812,94.2312622070312,-6.529023640435369
IBRD only,1996,67.02530442208804,1421.848246315834,3780446473.0,104.015632629395,,,77.1229019165039,5.489793942677707
Africa Western and Central,2005,52.55575310011284,1001.604606881726,316588476.0,86.3789825439453,2.3,41.54610690056329,51.6088981628418,5.912110880874977
Slovak Republic,2007,74.20731707317074,16110.48172652373,5374622.0,102.25048828125,61.8,1029.30029297,,10.818629507490355
Belize,1998,68.906,4127.937186074707,225173.0,,2.09,,,3.890469748565579
Botswana,2005,54.386,5391.070766196335,1839877.0,111.46208190918,3.26255,281.38796997,,4.556645653231811
"Gambia, The",1990,51.278,300.63989574038123,1054696.0,50.5561599731445,0.0,,,3.55887936756983
Thailand,2015,76.563,5688.853353978842,70540795.0,103.333457946777,39.3161,219.15092468,92.870002746582,3.1340472491163496
Bangladesh,1997,59.671,379.2849177096349,127198069.0,,0.000751,,,4.4898964976265034
Cote d'Ivoire,2008,54.179,1583.9706670137175,21514439.0,62.3004684448242,1.9,64.67678833,,4.782665978767199
Low & middle income,2012,69.58233057840914,4130.064443785129,5709187884.0,102.949851989746,,207.5254005228102,82.1876220703125,5.4871187080265
Bhutan,2020,72.253,3191.6690699933065,770006.0,103.826009511759,76.8508,134.13723755,,-10.21839742085686
Euro area,1996,77.14832367633986,23652.352088531225,322568383.0,,,,,1.7430593667738776
Antigua and Barbuda,1992,73.386,8153.737863072687,64404.0,104.460166931152,,,,1.1585507771082746
United Kingdom,2019,81.36912195121953,42794.00226482881,66631000.0,101.90941619873,92.5166,4258.63476563,,1.6244751803840387
Switzerland,2002,80.38536585365854,42458.73846791871,7284753.0,104.001480102539,61.4,4211.72949219,,-0.0732172569941127
Aruba,1999,72.857,19216.1972354472,89659.0,,4.51,,,1.2380418420715955
