Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Meter Consumption ID,Start Date,End Date,Usage/Quantity,Usage Units,Cost ($)
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520481,2022-03-01 00:00:00,2022-04-01 00:00:00,915.71,cm (cubic meters),442.21
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520482,2022-04-01 00:00:00,2022-05-01 00:00:00,655.5,cm (cubic meters),356.74
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520483,2022-05-01 00:00:00,2022-06-01 00:00:00,133.94,cm (cubic meters),165.86
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520484,2022-06-01 00:00:00,2022-07-01 00:00:00,0.0,cm (cubic meters),41.08
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520485,2022-07-01 00:00:00,2022-08-01 00:00:00,0.0,cm (cubic meters),79.6
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520486,2022-08-01 00:00:00,2022-09-01 00:00:00,12.69,cm (cubic meters),86.53
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520487,2022-09-01 00:00:00,2022-10-01 00:00:00,54.61,cm (cubic meters),98.37
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520488,2022-10-01 00:00:00,2022-11-01 00:00:00,307.38,cm (cubic meters),248.73
Jack Goodlad Park,34999811,190190743,AUTO_Jack Goodlad Park-Natural Gas,Natural Gas,8451520489,2022-11-01 00:00:00,2022-12-01 00:00:00,562.18,cm (cubic meters),354.8
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520492,2022-01-01 00:00:00,2022-02-01 00:00:00,10742.11,kWh (thousand Watt-hours),1656.27
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520493,2022-02-01 00:00:00,2022-03-01 00:00:00,7195.81,kWh (thousand Watt-hours),1131.96
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520494,2022-03-01 00:00:00,2022-04-01 00:00:00,6627.55,kWh (thousand Watt-hours),1113.81
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520495,2022-04-01 00:00:00,2022-05-01 00:00:00,5204.64,kWh (thousand Watt-hours),905.39
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520496,2022-05-01 00:00:00,2022-06-01 00:00:00,2869.19,kWh (thousand Watt-hours),554.59
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520497,2022-06-01 00:00:00,2022-07-01 00:00:00,1483.9,kWh (thousand Watt-hours),341.25
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520498,2022-07-01 00:00:00,2022-08-01 00:00:00,1522.03,kWh (thousand Watt-hours),354.34
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520499,2022-08-01 00:00:00,2022-09-01 00:00:00,1517.15,kWh (thousand Watt-hours),353.84
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520500,2022-09-01 00:00:00,2022-10-01 00:00:00,2197.45,kWh (thousand Watt-hours),444.24
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520501,2022-10-01 00:00:00,2022-11-01 00:00:00,4492.14,kWh (thousand Watt-hours),807.31
James Gardens,34999814,190190749,AUTO_James Gardens-Electric,Electric - Grid,8451520502,2022-11-01 00:00:00,2022-12-01 00:00:00,5509.16,kWh (thousand Watt-hours),1238.25
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520504,2022-01-01 00:00:00,2022-02-01 00:00:00,1003.8,cm (cubic meters),447.85
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520505,2022-02-01 00:00:00,2022-03-01 00:00:00,1065.92,cm (cubic meters),476.8
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520506,2022-03-01 00:00:00,2022-04-01 00:00:00,829.47,cm (cubic meters),406.17
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520507,2022-04-01 00:00:00,2022-05-01 00:00:00,527.98,cm (cubic meters),296.94
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520508,2022-05-01 00:00:00,2022-06-01 00:00:00,466.55,cm (cubic meters),126.15
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520509,2022-06-01 00:00:00,2022-07-01 00:00:00,130.83,cm (cubic meters),83.47
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520510,2022-07-01 00:00:00,2022-08-01 00:00:00,6.29,cm (cubic meters),83.41
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520511,2022-08-01 00:00:00,2022-09-01 00:00:00,13.28,cm (cubic meters),91.28
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520512,2022-09-01 00:00:00,2022-10-01 00:00:00,16.22,cm (cubic meters),88.5
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520513,2022-10-01 00:00:00,2022-11-01 00:00:00,258.87,cm (cubic meters),215.11
James Gardens,34999814,190190750,AUTO_James Gardens-Natural Gas,Natural Gas,8451520514,2022-11-01 00:00:00,2022-12-01 00:00:00,533.24,cm (cubic meters),345.25
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532952,2022-01-01 00:00:00,2022-02-01 00:00:00,98101.91,kWh (thousand Watt-hours),13737.98
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532953,2022-02-01 00:00:00,2022-03-01 00:00:00,104931.88,kWh (thousand Watt-hours),14343.95
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532954,2022-03-01 00:00:00,2022-04-01 00:00:00,63148.37,kWh (thousand Watt-hours),8727
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532955,2022-04-01 00:00:00,2022-05-01 00:00:00,71663.11,kWh (thousand Watt-hours),9532.15
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532956,2022-05-01 00:00:00,2022-06-01 00:00:00,77539.39,kWh (thousand Watt-hours),10723.72
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532957,2022-06-01 00:00:00,2022-07-01 00:00:00,75575.12,kWh (thousand Watt-hours),13104.49
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532958,2022-07-01 00:00:00,2022-08-01 00:00:00,74767.56,kWh (thousand Watt-hours),14793.8
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532959,2022-08-01 00:00:00,2022-09-01 00:00:00,72514.08,kWh (thousand Watt-hours),13426.09
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532960,2022-09-01 00:00:00,2022-10-01 00:00:00,74086.03,kWh (thousand Watt-hours),10886.54
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532961,2022-10-01 00:00:00,2022-11-01 00:00:00,57730.75,kWh (thousand Watt-hours),5597.48
Jimmie Simpson Recreation Centre,34999411,190190774,AUTO_Jimmie Simpson Recreation Centre-Electric,Electric - Grid,8451532962,2022-11-01 00:00:00,2022-12-01 00:00:00,65821.04,kWh (thousand Watt-hours),9635.06
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532964,2022-01-01 00:00:00,2022-02-01 00:00:00,33230.97,cm (cubic meters),11024.03
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532965,2022-02-01 00:00:00,2022-03-01 00:00:00,21723.9,cm (cubic meters),7340.78
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532966,2022-03-01 00:00:00,2022-04-01 00:00:00,23655.07,cm (cubic meters),8160.82
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532967,2022-04-01 00:00:00,2022-05-01 00:00:00,16618.91,cm (cubic meters),5993.2
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532968,2022-05-01 00:00:00,2022-06-01 00:00:00,10333.12,cm (cubic meters),3865.24
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532969,2022-06-01 00:00:00,2022-07-01 00:00:00,2583.64,cm (cubic meters),1087.75
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532970,2022-07-01 00:00:00,2022-08-01 00:00:00,2082.41,cm (cubic meters),902.11
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532971,2022-08-01 00:00:00,2022-09-01 00:00:00,2873.02,cm (cubic meters),1211.68
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532972,2022-09-01 00:00:00,2022-10-01 00:00:00,4452.29,cm (cubic meters),1852.94
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532973,2022-10-01 00:00:00,2022-11-01 00:00:00,9125.18,cm (cubic meters),4031.1
Jimmie Simpson Recreation Centre,34999411,190190775,AUTO_Jimmie Simpson Recreation Centre-Natural Gas,Natural Gas,8451532974,2022-11-01 00:00:00,2022-12-01 00:00:00,21502.08,cm (cubic meters),9507.52
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526350,2022-01-01 00:00:00,2022-02-01 00:00:00,76.59,kWh (thousand Watt-hours),20.52
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526351,2022-02-01 00:00:00,2022-03-01 00:00:00,69.18,kWh (thousand Watt-hours),18.58
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526352,2022-03-01 00:00:00,2022-04-01 00:00:00,76.59,kWh (thousand Watt-hours),20.97
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526353,2022-04-01 00:00:00,2022-05-01 00:00:00,74.12,kWh (thousand Watt-hours),20.3
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526354,2022-05-01 00:00:00,2022-06-01 00:00:00,76.59,kWh (thousand Watt-hours),20.98
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526355,2022-06-01 00:00:00,2022-07-01 00:00:00,74.12,kWh (thousand Watt-hours),20.31
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526356,2022-07-01 00:00:00,2022-08-01 00:00:00,76.59,kWh (thousand Watt-hours),20.98
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526357,2022-08-01 00:00:00,2022-09-01 00:00:00,76.59,kWh (thousand Watt-hours),20.98
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526358,2022-09-01 00:00:00,2022-10-01 00:00:00,74.12,kWh (thousand Watt-hours),20.31
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526359,2022-10-01 00:00:00,2022-11-01 00:00:00,76.59,kWh (thousand Watt-hours),21.02
Joseph Sheard Parkette,34999822,190190798,AUTO_Joseph Sheard Parkette-Electric,Electric - Grid,8451526360,2022-11-01 00:00:00,2022-12-01 00:00:00,74.12,kWh (thousand Watt-hours),20.56
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531033,2022-01-01 00:00:00,2022-02-01 00:00:00,1253.51,cm (cubic meters),552.59
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531034,2022-02-01 00:00:00,2022-03-01 00:00:00,1022.47,cm (cubic meters),463.31
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531035,2022-03-01 00:00:00,2022-04-01 00:00:00,942.65,cm (cubic meters),449.55
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531036,2022-04-01 00:00:00,2022-05-01 00:00:00,530.54,cm (cubic meters),305.5
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531037,2022-05-01 00:00:00,2022-06-01 00:00:00,132.85,cm (cubic meters),126.77
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531038,2022-06-01 00:00:00,2022-07-01 00:00:00,72.02,cm (cubic meters),115.41
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531039,2022-07-01 00:00:00,2022-08-01 00:00:00,83.29,cm (cubic meters),117.64
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531040,2022-08-01 00:00:00,2022-09-01 00:00:00,66.65,cm (cubic meters),110.71
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531041,2022-09-01 00:00:00,2022-10-01 00:00:00,103.49,cm (cubic meters),128.24
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531042,2022-10-01 00:00:00,2022-11-01 00:00:00,488.97,cm (cubic meters),322.23
June Rowlands Park,34999227,190190803,AUTO_June Rowlands Park-Natural Gas,Natural Gas,8451531043,2022-11-01 00:00:00,2022-12-01 00:00:00,831.85,cm (cubic meters),484.88
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531045,2022-01-01 00:00:00,2022-02-01 00:00:00,1397.83,kWh (thousand Watt-hours),185.42
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531046,2022-02-01 00:00:00,2022-03-01 00:00:00,1108.29,kWh (thousand Watt-hours),238.62
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531047,2022-03-01 00:00:00,2022-04-01 00:00:00,1167.96,kWh (thousand Watt-hours),260.83
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531048,2022-04-01 00:00:00,2022-05-01 00:00:00,2404.09,kWh (thousand Watt-hours),297.54
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531049,2022-05-01 00:00:00,2022-06-01 00:00:00,3817.03,kWh (thousand Watt-hours),533.88
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531050,2022-06-01 00:00:00,2022-07-01 00:00:00,3960.66,kWh (thousand Watt-hours),624.3
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531051,2022-07-01 00:00:00,2022-08-01 00:00:00,4119.02,kWh (thousand Watt-hours),652.63
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531052,2022-08-01 00:00:00,2022-09-01 00:00:00,4300.02,kWh (thousand Watt-hours),679.12
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531053,2022-09-01 00:00:00,2022-10-01 00:00:00,4157.18,kWh (thousand Watt-hours),655.13
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531054,2022-10-01 00:00:00,2022-11-01 00:00:00,4337.11,kWh (thousand Watt-hours),701.87
June Rowlands Park,34999227,190190804,AUTO_June Rowlands Park-Electric,Electric - Grid,8451531055,2022-11-01 00:00:00,2022-12-01 00:00:00,2731.35,kWh (thousand Watt-hours),350.82
Keele Subway Stn,35000705,190190807,AUTO_Keele Subway Stn-Electric,Electric - Grid,8451539637,2022-01-01 00:00:00,2022-02-01 00:00:00,123887.97,kWh (thousand Watt-hours),16269.01
Keele Subway Stn,35000705,190190807,AUTO_Keele Subway Stn-Electric,Electric - Grid,8451539638,2022-02-01 00:00:00,2022-03-01 00:00:00,102318.82,kWh (thousand Watt-hours),13745.42
