Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
Carpark 240,35000174,190080682,AUTO_Carpark 240-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-06-24 00:00:00,2024-10-01 00:00:00
Carpark 244,35000176,190080700,AUTO_Carpark 244-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-09 00:00:00,2024-11-01 00:00:00
Carpark 287,35000189,190080785,AUTO_Carpark 287-Electric,Electric - Grid,kWh (thousand Watt-hours),2017-10-03 00:00:00,2024-10-01 00:00:00
Carpark 300,35000191,190080801,AUTO_Carpark 300-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-06-22 00:00:00,2022-01-24 00:00:00
Carpark 39,35000194,190081302,AUTO_Carpark 39-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 403,35000197,190081418,AUTO_Carpark 403-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 414,35000201,190081453,AUTO_Carpark 414-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Carpark 506,35000216,190081647,AUTO_Carpark 506-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-06-22 00:00:00,2024-11-01 00:00:00
Election Services Building,34999116,190082001,AUTO_Election Services Building-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-07-01 00:00:00
Election Services Building,34999116,190082002,AUTO_Election Services Building-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-07-01 00:00:00
Elizabeth Simcoe Park,34999722,190082006,AUTO_Elizabeth Simcoe Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Ellesmere Community Centre,34999212,190082015,AUTO_Ellesmere Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Ellesmere Community Centre,34999212,190082016,AUTO_Ellesmere Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Carpark 700,35000238,190082026,AUTO_Carpark 700-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Ellesmere Substation,35000680,190082032,AUTO_Ellesmere Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Carpark 709,35000240,190082036,AUTO_Carpark 709-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-11-21 00:00:00,2024-11-01 00:00:00
Carpark 71,35000241,190082044,AUTO_Carpark 71-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Elmbank Community Centre,34999213,190082052,AUTO_Elmbank Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Elmbank Community Centre,34999213,190082053,AUTO_Elmbank Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Carpark 78,35000242,190082054,AUTO_Carpark 78-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Emergency Task Force,35000276,190082106,AUTO_Emergency Task Force-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
Emergency Task Force,35000276,190082107,AUTO_Emergency Task Force-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
Eringate Pool,34999725,190082123,AUTO_Eringate Pool-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Eringate Pool,34999725,190082125,AUTO_Eringate Pool-Natural Gas,Natural Gas,cm (cubic meters),2014-03-14 00:00:00,2024-01-01 00:00:00
Etienne Brule Park,34999729,190082158,AUTO_Etienne Brule Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Etobicoke Olympium,34999455,190082190,AUTO_Etobicoke Olympium-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Etobicoke Olympium,34999455,190082191,AUTO_Etobicoke Olympium-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Everett Park,34999731,190082229,AUTO_Everett Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-06-02 00:00:00,2024-11-01 00:00:00
Castlefield Yard,35000488,190082233,AUTO_Castlefield Yard-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Castlefield Yard,35000488,190082234,AUTO_Castlefield Yard-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Castleview Wychwood Towers,34999525,190082252,AUTO_Castleview Wychwood Towers-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Castleview Wychwood Towers,34999525,190082253,AUTO_Castleview Wychwood Towers-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Cawthra Playground,34999644,190082257,AUTO_Cawthra Playground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
